time,open,high,low,close,volume,amount,xtim
2016-11-16 11:30:00,27.2,27.2,27.2,27.2,0.0,0.0,2016-11-16 11:30:00
2016-11-16 13:00:00,27.2,27.25,27.14,27.18,3208.0,8720609.0,2016-11-16 13:00:00
2016-11-16 13:30:00,27.15,27.22,27.1,27.13,4303.0,11697891.0,2016-11-16 13:30:00
2016-11-16 14:00:00,27.13,27.18,27.06,27.09,3052.0,8279210.0,2016-11-16 14:00:00
2016-11-16 14:30:00,27.09,27.16,27.0,27.0,5908.0,16068469.0,2016-11-16 14:30:00
2016-11-16 15:00:00,27.0,27.0,27.0,27.0,693.0,1871100.0,2016-11-16 15:00:00
2016-11-17 09:00:00,27.01,27.01,27.01,27.01,158.0,426758.0,2016-11-17 09:00:00
2016-11-17 09:30:00,27.01,27.01,26.72,26.74,10500.0,28169381.0,2016-11-17 09:30:00
2016-11-17 10:00:00,26.73,26.81,26.65,26.75,6822.0,18270125.0,2016-11-17 10:00:00
2016-11-17 10:30:00,26.75,26.81,26.69,26.77,5895.0,15797425.0,2016-11-17 10:30:00
2016-11-17 11:00:00,26.8,26.81,26.68,26.71,4353.0,11649232.0,2016-11-17 11:00:00
2016-11-17 11:30:00,26.71,26.71,26.71,26.71,2.0,5342.0,2016-11-17 11:30:00
2016-11-17 13:00:00,26.71,26.74,26.7,26.74,1698.0,4538053.0,2016-11-17 13:00:00
2016-11-17 13:30:00,26.73,26.82,26.71,26.78,3501.0,9375333.0,2016-11-17 13:30:00
2016-11-17 14:00:00,26.78,26.94,26.78,26.82,2514.0,6753152.0,2016-11-17 14:00:00
2016-11-17 14:30:00,26.82,26.91,26.78,26.83,3277.0,8801594.0,2016-11-17 14:30:00
2016-11-17 15:00:00,26.84,26.84,26.84,26.84,162.0,436955.0,2016-11-17 15:00:00
2016-11-18 09:00:00,26.84,26.84,26.84,26.84,14.0,37576.0,2016-11-18 09:00:00
2016-11-18 09:30:00,26.84,26.84,26.68,26.71,3273.0,8778714.0,2016-11-18 09:30:00
2016-11-18 10:00:00,26.71,26.82,26.7,26.8,3096.0,8318149.0,2016-11-18 10:00:00
2016-11-18 10:30:00,26.8,26.81,26.7,26.77,5148.0,13805810.0,2016-11-18 10:30:00
2016-11-18 11:00:00,26.77,26.81,26.7,26.72,2131.0,5727485.0,2016-11-18 11:00:00
2016-11-18 11:30:00,26.72,26.72,26.72,26.72,0.0,0.0,2016-11-18 11:30:00
2016-11-18 13:00:00,26.72,26.75,26.62,26.65,4375.0,11685677.0,2016-11-18 13:00:00
2016-11-18 13:30:00,26.64,26.7,26.64,26.7,1949.0,5211675.0,2016-11-18 13:30:00
2016-11-18 14:00:00,26.7,26.7,26.59,26.66,5603.0,14938012.0,2016-11-18 14:00:00
2016-11-18 14:30:00,26.66,26.68,26.39,26.51,13004.0,34497188.0,2016-11-18 14:30:00
2016-11-18 15:00:00,26.5,26.5,26.5,26.5,601.0,1592650.0,2016-11-18 15:00:00
