xtim,kret9,kret3,kret1,kret0,knum9,knum3,knum1,knum0,ret9,num9,nwin9,ret3,ret1,ret0,nwin3,nwin1,nwin0,num3,num1,num0,v1,v2,v3,v4,v5,nday,doc
,92.71,92.98,0.0,91.39,81.55,81.86,0.0,80.0,467.27,504.0,411.0,389.59,0.0,77.68,343.0,0.0,68.0,419.0,0.0,85.0,1.3,70.0,0.0,0.0,0.0,500.0,227
,93.24,93.49,0.0,92.14,81.6,81.91,0.0,80.19,547.34,587.0,479.0,449.67,0.0,97.67,394.0,0.0,85.0,481.0,0.0,106.0,1.3,60.0,0.0,0.0,0.0,500.0,228
,92.44,92.4,0.0,92.65,80.7,80.78,0.0,80.36,579.63,627.0,506.0,475.86,0.0,103.77,416.0,0.0,90.0,515.0,0.0,112.0,1.3,50.0,0.0,0.0,0.0,500.0,229
,91.66,91.8,0.0,91.03,79.85,80.11,0.0,78.69,618.73,675.0,539.0,507.67,0.0,111.06,443.0,0.0,96.0,553.0,0.0,122.0,1.3,45.0,0.0,0.0,0.0,500.0,229
,91.12,91.21,0.0,90.7,79.31,79.51,0.0,78.4,629.62,691.0,548.0,516.25,0.0,113.37,450.0,0.0,98.0,566.0,0.0,125.0,1.3,40.0,0.0,0.0,0.0,500.0,230
,90.64,91.05,0.0,88.88,77.83,78.24,0.0,76.07,776.77,857.0,667.0,631.89,0.0,144.88,543.0,0.0,124.0,694.0,0.0,163.0,1.4,90.0,0.0,0.0,0.0,500.0,232
,91.76,91.73,0.0,91.85,78.08,78.24,0.0,77.45,908.4,990.0,773.0,721.02,0.0,187.38,615.0,0.0,158.0,786.0,0.0,204.0,1.4,80.0,0.0,0.0,0.0,500.0,234
,92.53,92.31,0.0,93.38,78.25,78.24,0.0,78.32,995.66,1076.0,842.0,784.61,0.0,211.05,665.0,0.0,177.0,850.0,0.0,226.0,1.4,70.0,0.0,0.0,0.0,500.0,236
,92.31,91.96,0.0,93.61,77.48,77.38,0.0,77.87,1106.79,1199.0,929.0,869.95,0.0,236.84,732.0,0.0,197.0,946.0,0.0,253.0,1.4,60.0,0.0,0.0,0.0,500.0,238
,92.48,91.82,0.0,94.89,77.27,76.97,0.0,78.39,1180.0,1276.0,986.0,920.94,0.0,259.06,772.0,0.0,214.0,1003.0,0.0,273.0,1.4,50.0,0.0,0.0,0.0,500.0,240
,92.56,92.17,0.0,93.96,77.07,77.03,0.0,77.24,1239.38,1339.0,1032.0,966.89,0.0,272.49,808.0,0.0,224.0,1049.0,0.0,290.0,1.4,45.0,0.0,0.0,0.0,500.0,240
,92.45,92.06,0.0,93.86,76.87,76.8,0.0,77.13,1259.13,1362.0,1047.0,984.12,0.0,275.01,821.0,0.0,226.0,1069.0,0.0,293.0,1.4,40.0,0.0,0.0,0.0,500.0,241
,91.72,91.76,0.0,91.57,75.68,75.75,0.0,75.4,1384.07,1509.0,1142.0,1101.11,0.0,282.96,909.0,0.0,233.0,1200.0,0.0,309.0,1.5,90.0,0.0,0.0,0.0,500.0,243
,91.8,91.91,0.0,91.39,75.13,75.26,0.0,74.64,1535.83,1673.0,1257.0,1218.7,0.0,317.13,998.0,0.0,259.0,1326.0,0.0,347.0,1.5,80.0,0.0,0.0,0.0,500.0,245
,91.52,91.41,0.0,91.92,74.54,74.54,0.0,74.55,1642.78,1795.0,1338.0,1288.87,0.0,353.91,1051.0,0.0,287.0,1410.0,0.0,385.0,1.5,70.0,0.0,0.0,0.0,500.0,247
,91.21,91.37,0.0,90.59,73.68,73.89,0.0,72.88,1808.61,1983.0,1461.0,1424.5,0.0,384.11,1152.0,0.0,309.0,1559.0,0.0,424.0,1.5,60.0,0.0,0.0,0.0,500.0,250
,91.28,91.55,0.0,90.27,73.45,73.74,0.0,72.36,1894.02,2075.0,1524.0,1492.3,0.0,401.72,1202.0,0.0,322.0,1630.0,0.0,445.0,1.5,50.0,0.0,0.0,0.0,500.0,251
,90.74,90.97,0.0,89.89,72.79,73.05,0.0,71.86,1950.91,2150.0,1565.0,1535.61,0.0,415.3,1233.0,0.0,332.0,1688.0,0.0,462.0,1.5,45.0,0.0,0.0,0.0,500.0,252
,90.8,91.27,0.0,89.09,72.69,73.13,0.0,71.1,1994.88,2197.0,1597.0,1572.59,0.0,422.29,1260.0,0.0,337.0,1723.0,0.0,474.0,1.5,40.0,0.0,0.0,0.0,500.0,253
,90.49,90.94,0.0,88.74,72.04,72.36,0.0,70.82,2097.66,2318.0,1670.0,1677.9,0.0,419.76,1335.0,0.0,335.0,1845.0,0.0,473.0,1.6,90.0,0.0,0.0,0.0,500.0,254
,90.66,90.58,0.0,90.99,71.56,71.51,0.0,71.76,2279.22,2514.0,1799.0,1802.45,0.0,476.77,1423.0,0.0,376.0,1990.0,0.0,524.0,1.6,80.0,0.0,0.0,0.0,500.0,258
,90.44,90.3,0.0,91.01,70.99,70.9,0.0,71.35,2419.39,2675.0,1899.0,1914.29,0.0,505.1,1503.0,0.0,396.0,2120.0,0.0,555.0,1.6,70.0,0.0,0.0,0.0,500.0,260
,90.48,90.2,0.0,91.53,70.47,70.34,0.0,70.98,2607.64,2882.0,2031.0,2055.7,0.0,551.94,1603.0,0.0,428.0,2279.0,0.0,603.0,1.6,60.0,0.0,0.0,0.0,500.0,264
,90.29,89.97,0.0,91.5,70.0,69.83,0.0,70.65,2723.98,3017.0,2112.0,2150.26,0.0,573.72,1669.0,0.0,443.0,2390.0,0.0,627.0,1.6,50.0,0.0,0.0,0.0,500.0,266
,89.98,89.75,0.0,90.85,69.5,69.41,0.0,69.85,2811.96,3125.0,2172.0,2212.34,0.0,599.62,1711.0,0.0,461.0,2465.0,0.0,660.0,1.6,45.0,0.0,0.0,0.0,500.0,267
,89.46,89.16,0.0,90.57,69.02,68.89,0.0,69.49,2841.15,3176.0,2192.0,2232.54,0.0,608.61,1725.0,0.0,467.0,2504.0,0.0,672.0,1.6,40.0,0.0,0.0,0.0,500.0,267
,90.06,89.69,0.0,91.52,69.17,68.9,0.0,70.23,2898.23,3218.0,2226.0,2298.78,0.0,599.45,1766.0,0.0,460.0,2563.0,0.0,655.0,1.7,90.0,0.0,0.0,0.0,500.0,268
,89.82,89.72,0.0,90.21,68.45,68.36,0.0,68.78,3113.97,3467.0,2373.0,2472.58,0.0,641.39,1884.0,0.0,489.0,2756.0,0.0,711.0,1.7,80.0,0.0,0.0,0.0,500.0,272
,89.73,89.6,0.0,90.21,67.95,67.86,0.0,68.3,3289.34,3666.0,2491.0,2609.15,0.0,680.19,1976.0,0.0,515.0,2912.0,0.0,754.0,1.7,70.0,0.0,0.0,0.0,500.0,275
,89.62,89.51,0.0,90.03,67.4,67.3,0.0,67.75,3479.83,3883.0,2617.0,2759.57,0.0,720.26,2075.0,0.0,542.0,3083.0,0.0,800.0,1.7,60.0,0.0,0.0,0.0,500.0,278
,89.45,89.51,0.0,89.18,66.83,66.84,0.0,66.79,3645.78,4076.0,2724.0,2902.04,0.0,743.74,2167.0,0.0,557.0,3242.0,0.0,834.0,1.7,50.0,0.0,0.0,0.0,500.0,280
,89.54,89.65,0.0,89.12,66.66,66.73,0.0,66.4,3746.27,4184.0,2789.0,2977.18,0.0,769.09,2216.0,0.0,573.0,3321.0,0.0,863.0,1.7,45.0,0.0,0.0,0.0,500.0,282
,89.62,89.69,0.0,89.32,66.6,66.65,0.0,66.4,3798.86,4239.0,2823.0,3017.3,0.0,781.56,2242.0,0.0,581.0,3364.0,0.0,875.0,1.7,40.0,0.0,0.0,0.0,500.0,284
,108.0,0.0,0.0,108.0,100.0,0.0,0.0,100.0,1.08,1.0,1.0,0.0,0.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,1.1,90.0,0.0,0.0,0.0,1000.0,399
,108.0,108.0,0.0,108.0,100.0,100.0,0.0,100.0,2.16,2.0,2.0,1.08,0.0,1.08,1.0,0.0,1.0,1.0,0.0,1.0,1.1,80.0,0.0,0.0,0.0,1000.0,399
,108.0,108.0,0.0,108.0,100.0,100.0,0.0,100.0,2.16,2.0,2.0,1.08,0.0,1.08,1.0,0.0,1.0,1.0,0.0,1.0,1.1,70.0,0.0,0.0,0.0,1000.0,398
,108.4,107.5,0.0,109.0,100.0,100.0,0.0,100.0,5.42,5.0,5.0,2.15,0.0,3.27,2.0,0.0,3.0,2.0,0.0,3.0,1.1,60.0,0.0,0.0,0.0,1000.0,399
,107.5,106.0,0.0,109.0,100.0,100.0,0.0,100.0,6.45,6.0,6.0,3.18,0.0,3.27,3.0,0.0,3.0,3.0,0.0,3.0,1.1,50.0,0.0,0.0,0.0,1000.0,396
,106.86,105.25,0.0,109.0,100.0,100.0,0.0,100.0,7.48,7.0,7.0,4.21,0.0,3.27,4.0,0.0,3.0,4.0,0.0,3.0,1.1,45.0,0.0,0.0,0.0,1000.0,396
,106.86,105.25,0.0,109.0,100.0,100.0,0.0,100.0,7.48,7.0,7.0,4.21,0.0,3.27,4.0,0.0,3.0,4.0,0.0,3.0,1.1,40.0,0.0,0.0,0.0,1000.0,395
,108.09,107.75,0.0,109.0,100.0,100.0,0.0,100.0,11.89,11.0,11.0,8.62,0.0,3.27,8.0,0.0,3.0,8.0,0.0,3.0,1.15,90.0,0.0,0.0,0.0,1000.0,396
,101.07,98.0,0.0,109.5,93.33,90.91,0.0,100.0,15.16,15.0,14.0,10.78,0.0,4.38,10.0,0.0,4.0,11.0,0.0,4.0,1.15,80.0,0.0,0.0,0.0,1000.0,395
,98.86,95.71,0.0,109.6,90.91,88.24,0.0,100.0,21.75,22.0,20.0,16.27,0.0,5.48,15.0,0.0,5.0,17.0,0.0,5.0,1.15,70.0,0.0,0.0,0.0,1000.0,396
,94.0,94.53,0.0,91.33,86.11,86.67,0.0,83.33,33.84,36.0,31.0,28.36,0.0,5.48,26.0,0.0,5.0,30.0,0.0,6.0,1.15,60.0,0.0,0.0,0.0,1000.0,395
,97.04,99.1,0.0,88.4,88.46,90.48,0.0,80.0,50.46,52.0,46.0,41.62,0.0,8.84,38.0,0.0,8.0,42.0,0.0,10.0,1.15,50.0,0.0,0.0,0.0,1000.0,395
,97.3,98.31,0.0,93.25,88.33,89.58,0.0,83.33,58.38,60.0,53.0,47.19,0.0,11.19,43.0,0.0,10.0,48.0,0.0,12.0,1.15,45.0,0.0,0.0,0.0,1000.0,395
,96.02,96.68,0.0,93.25,87.1,88.0,0.0,83.33,59.53,62.0,54.0,48.34,0.0,11.19,44.0,0.0,10.0,50.0,0.0,12.0,1.15,40.0,0.0,0.0,0.0,1000.0,396
,95.22,95.08,0.0,96.12,86.67,86.54,0.0,87.5,57.13,60.0,52.0,49.44,0.0,7.69,45.0,0.0,7.0,52.0,0.0,8.0,1.2,90.0,0.0,0.0,0.0,1000.0,397
,94.23,96.84,0.0,80.17,85.22,87.63,0.0,72.22,108.36,115.0,98.0,93.93,0.0,14.43,85.0,0.0,13.0,97.0,0.0,18.0,1.2,80.0,0.0,0.0,0.0,1000.0,397
,95.0,97.18,0.0,84.12,86.0,88.0,0.0,76.0,142.5,150.0,129.0,121.47,0.0,21.03,110.0,0.0,19.0,125.0,0.0,25.0,1.2,70.0,0.0,0.0,0.0,1000.0,398
,95.29,96.92,0.0,87.49,85.98,87.57,0.0,78.38,203.91,214.0,184.0,171.54,0.0,32.37,155.0,0.0,29.0,177.0,0.0,37.0,1.2,60.0,0.0,0.0,0.0,1000.0,399
,95.45,97.16,0.0,87.85,85.94,87.56,0.0,78.72,244.35,256.0,220.0,203.06,0.0,41.29,183.0,0.0,37.0,209.0,0.0,47.0,1.2,50.0,0.0,0.0,0.0,1000.0,400
,95.59,96.55,0.0,91.54,85.87,86.9,0.0,81.48,270.53,283.0,243.0,221.1,0.0,49.43,199.0,0.0,44.0,229.0,0.0,54.0,1.2,45.0,0.0,0.0,0.0,1000.0,401
,95.46,96.93,0.0,89.17,85.67,87.15,0.0,79.31,293.07,307.0,263.0,241.35,0.0,51.72,217.0,0.0,46.0,249.0,0.0,58.0,1.2,40.0,0.0,0.0,0.0,1000.0,401
,92.26,93.64,0.0,85.03,81.75,82.94,0.0,75.47,611.69,663.0,542.0,521.56,0.0,90.13,462.0,0.0,80.0,557.0,0.0,106.0,1.3,90.0,0.0,0.0,0.0,1000.0,408
,92.77,93.69,0.0,88.56,81.65,82.5,0.0,77.78,743.05,801.0,654.0,615.52,0.0,127.53,542.0,0.0,112.0,657.0,0.0,144.0,1.3,80.0,0.0,0.0,0.0,1000.0,410
,92.71,93.46,0.0,89.35,81.33,82.03,0.0,78.18,839.0,905.0,736.0,691.57,0.0,147.43,607.0,0.0,129.0,740.0,0.0,165.0,1.3,70.0,0.0,0.0,0.0,1000.0,413
,93.0,93.77,0.0,89.69,81.13,81.83,0.0,78.11,990.43,1065.0,864.0,810.15,0.0,180.28,707.0,0.0,157.0,864.0,0.0,201.0,1.3,60.0,0.0,0.0,0.0,1000.0,414
,92.21,92.7,0.0,90.07,80.21,80.7,0.0,78.08,1071.46,1162.0,932.0,874.2,0.0,197.26,761.0,0.0,171.0,943.0,0.0,219.0,1.3,50.0,0.0,0.0,0.0,1000.0,416
,91.82,92.42,0.0,89.3,79.68,80.28,0.0,77.12,1138.59,1240.0,988.0,927.85,0.0,210.74,806.0,0.0,182.0,1004.0,0.0,236.0,1.3,45.0,0.0,0.0,0.0,1000.0,418
,91.29,91.79,0.0,89.14,79.11,79.6,0.0,76.99,1166.7,1278.0,1011.0,953.65,0.0,213.05,827.0,0.0,184.0,1039.0,0.0,239.0,1.3,40.0,0.0,0.0,0.0,1000.0,420
,89.93,90.24,0.0,88.53,76.94,77.16,0.0,75.95,1435.22,1596.0,1228.0,1177.6,0.0,257.62,1007.0,0.0,221.0,1305.0,0.0,291.0,1.4,90.0,0.0,0.0,0.0,1000.0,427
,90.76,90.59,0.0,91.46,77.0,76.9,0.0,77.43,1665.42,1835.0,1413.0,1345.3,0.0,320.12,1142.0,0.0,271.0,1485.0,0.0,350.0,1.4,80.0,0.0,0.0,0.0,1000.0,432
,90.99,90.7,0.0,92.14,76.73,76.59,0.0,77.33,1822.46,2003.0,1537.0,1456.67,0.0,365.79,1230.0,0.0,307.0,1606.0,0.0,397.0,1.4,70.0,0.0,0.0,0.0,1000.0,434
,90.34,89.85,0.0,92.26,75.69,75.41,0.0,76.84,2018.12,2234.0,1691.0,1603.86,0.0,414.26,1346.0,0.0,345.0,1785.0,0.0,449.0,1.4,60.0,0.0,0.0,0.0,1000.0,438
,90.15,89.45,0.0,92.91,75.22,74.78,0.0,76.99,2146.42,2381.0,1791.0,1702.29,0.0,444.13,1423.0,0.0,368.0,1903.0,0.0,478.0,1.4,50.0,0.0,0.0,0.0,1000.0,440
,89.98,89.51,0.0,91.81,74.82,74.57,0.0,75.79,2251.26,2502.0,1872.0,1784.86,0.0,466.4,1487.0,0.0,385.0,1994.0,0.0,508.0,1.4,45.0,0.0,0.0,0.0,1000.0,442
,89.86,89.38,0.0,91.75,74.63,74.36,0.0,75.68,2284.19,2542.0,1897.0,1812.61,0.0,471.58,1508.0,0.0,389.0,2028.0,0.0,514.0,1.4,40.0,0.0,0.0,0.0,1000.0,442
,89.78,89.57,0.0,90.67,73.87,73.71,0.0,74.54,2529.14,2817.0,2081.0,2034.09,0.0,495.05,1674.0,0.0,407.0,2271.0,0.0,546.0,1.5,90.0,0.0,0.0,0.0,1000.0,447
,89.89,89.87,0.0,89.97,73.37,73.39,0.0,73.31,2805.56,3121.0,2290.0,2245.92,0.0,559.64,1834.0,0.0,456.0,2499.0,0.0,622.0,1.5,80.0,0.0,0.0,0.0,1000.0,451
,89.68,89.45,0.0,90.55,72.82,72.69,0.0,73.34,3005.94,3352.0,2441.0,2391.08,0.0,614.86,1943.0,0.0,498.0,2673.0,0.0,679.0,1.5,70.0,0.0,0.0,0.0,1000.0,456
,89.78,89.67,0.0,90.22,72.27,72.26,0.0,72.3,3305.69,3682.0,2661.0,2628.15,0.0,677.54,2118.0,0.0,543.0,2931.0,0.0,751.0,1.5,60.0,0.0,0.0,0.0,1000.0,460
,89.73,89.67,0.0,89.98,71.91,71.93,0.0,71.85,3466.25,3863.0,2778.0,2759.91,0.0,706.34,2214.0,0.0,564.0,3078.0,0.0,785.0,1.5,50.0,0.0,0.0,0.0,1000.0,464
,89.32,89.33,0.0,89.27,71.37,71.45,0.0,71.08,3575.28,4003.0,2857.0,2846.84,0.0,728.44,2277.0,0.0,580.0,3187.0,0.0,816.0,1.5,45.0,0.0,0.0,0.0,1000.0,466
,89.33,89.55,0.0,88.48,71.26,71.5,0.0,70.33,3642.99,4078.0,2906.0,2903.27,0.0,739.72,2318.0,0.0,588.0,3242.0,0.0,836.0,1.5,40.0,0.0,0.0,0.0,1000.0,468
,89.15,89.29,0.0,88.6,70.67,70.77,0.0,70.26,3838.93,4306.0,3043.0,3091.13,0.0,747.8,2450.0,0.0,593.0,3462.0,0.0,844.0,1.6,90.0,0.0,0.0,0.0,1000.0,471
,89.06,89.05,0.0,89.1,70.06,70.08,0.0,69.99,4155.74,4666.0,3269.0,3324.4,0.0,831.34,2616.0,0.0,653.0,3733.0,0.0,933.0,1.6,80.0,0.0,0.0,0.0,1000.0,477
,88.89,88.77,0.0,89.37,69.52,69.46,0.0,69.77,4412.63,4964.0,3451.0,3528.73,0.0,883.9,2761.0,0.0,690.0,3975.0,0.0,989.0,1.6,70.0,0.0,0.0,0.0,1000.0,481
,89.07,88.91,0.0,89.69,69.12,69.05,0.0,69.43,4748.28,5331.0,3685.0,3794.83,0.0,953.45,2947.0,0.0,738.0,4268.0,0.0,1063.0,1.6,60.0,0.0,0.0,0.0,1000.0,488
,89.01,88.86,0.0,89.59,68.71,68.66,0.0,68.93,4980.98,5596.0,3845.0,3977.57,0.0,1003.41,3073.0,0.0,772.0,4476.0,0.0,1120.0,1.6,50.0,0.0,0.0,0.0,1000.0,492
,88.95,88.81,0.0,89.51,68.39,68.35,0.0,68.58,5152.79,5793.0,3962.0,4107.34,0.0,1045.45,3161.0,0.0,801.0,4625.0,0.0,1168.0,1.6,45.0,0.0,0.0,0.0,1000.0,496
,88.9,88.69,0.0,89.73,68.23,68.14,0.0,68.6,5232.46,5886.0,4016.0,4166.5,0.0,1065.96,3201.0,0.0,815.0,4698.0,0.0,1188.0,1.6,40.0,0.0,0.0,0.0,1000.0,496
,89.06,88.91,0.0,89.66,68.18,68.1,0.0,68.52,5262.37,5909.0,4029.0,4214.28,0.0,1048.09,3228.0,0.0,801.0,4740.0,0.0,1169.0,1.7,90.0,0.0,0.0,0.0,1000.0,499
,88.95,88.86,0.0,89.3,67.53,67.49,0.0,67.72,5673.97,6379.0,4308.0,4539.84,0.0,1134.13,3448.0,0.0,860.0,5109.0,0.0,1270.0,1.7,80.0,0.0,0.0,0.0,1000.0,504
,89.13,89.06,0.0,89.4,67.2,67.17,0.0,67.33,6025.11,6760.0,4543.0,4818.19,0.0,1206.92,3634.0,0.0,909.0,5410.0,0.0,1350.0,1.7,70.0,0.0,0.0,0.0,1000.0,510
,89.24,89.21,0.0,89.39,66.73,66.71,0.0,66.83,6424.56,7199.0,4804.0,5139.12,0.0,1285.44,3843.0,0.0,961.0,5761.0,0.0,1438.0,1.7,60.0,0.0,0.0,0.0,1000.0,520
,89.36,89.5,0.0,88.78,66.38,66.46,0.0,66.09,6738.37,7541.0,5006.0,5411.13,0.0,1327.24,4018.0,0.0,988.0,6046.0,0.0,1495.0,1.7,50.0,0.0,0.0,0.0,1000.0,526
,89.22,89.37,0.0,88.65,66.07,66.17,0.0,65.68,6907.75,7742.0,5115.0,5536.26,0.0,1371.49,4099.0,0.0,1016.0,6195.0,0.0,1547.0,1.7,45.0,0.0,0.0,0.0,1000.0,531
,89.26,89.39,0.0,88.72,65.97,66.08,0.0,65.57,6998.77,7841.0,5173.0,5602.25,0.0,1396.52,4141.0,0.0,1032.0,6267.0,0.0,1574.0,1.7,40.0,0.0,0.0,0.0,1000.0,531
,108.0,0.0,0.0,108.0,100.0,0.0,0.0,100.0,1.08,1.0,1.0,0.0,0.0,1.08,0.0,0.0,1.0,0.0,0.0,1.0,1.1,90.0,0.0,0.0,0.0,2000.0,600
,108.0,108.0,0.0,108.0,100.0,100.0,0.0,100.0,2.16,2.0,2.0,1.08,0.0,1.08,1.0,0.0,1.0,1.0,0.0,1.0,1.1,80.0,0.0,0.0,0.0,2000.0,591
,108.0,108.0,0.0,108.0,100.0,100.0,0.0,100.0,2.16,2.0,2.0,1.08,0.0,1.08,1.0,0.0,1.0,1.0,0.0,1.0,1.1,70.0,0.0,0.0,0.0,2000.0,589
,108.4,107.5,0.0,109.0,100.0,100.0,0.0,100.0,5.42,5.0,5.0,2.15,0.0,3.27,2.0,0.0,3.0,2.0,0.0,3.0,1.1,60.0,0.0,0.0,0.0,2000.0,589
,107.5,106.0,0.0,109.0,100.0,100.0,0.0,100.0,6.45,6.0,6.0,3.18,0.0,3.27,3.0,0.0,3.0,3.0,0.0,3.0,1.1,50.0,0.0,0.0,0.0,2000.0,587
,106.86,105.25,0.0,109.0,100.0,100.0,0.0,100.0,7.48,7.0,7.0,4.21,0.0,3.27,4.0,0.0,3.0,4.0,0.0,3.0,1.1,45.0,0.0,0.0,0.0,2000.0,588
,106.86,105.25,0.0,109.0,100.0,100.0,0.0,100.0,7.48,7.0,7.0,4.21,0.0,3.27,4.0,0.0,3.0,4.0,0.0,3.0,1.1,40.0,0.0,0.0,0.0,2000.0,587
,108.09,107.75,0.0,109.0,100.0,100.0,0.0,100.0,11.89,11.0,11.0,8.62,0.0,3.27,8.0,0.0,3.0,8.0,0.0,3.0,1.15,90.0,0.0,0.0,0.0,2000.0,587
,101.07,98.0,0.0,109.5,93.33,90.91,0.0,100.0,15.16,15.0,14.0,10.78,0.0,4.38,10.0,0.0,4.0,11.0,0.0,4.0,1.15,80.0,0.0,0.0,0.0,2000.0,591
,98.86,95.71,0.0,109.6,90.91,88.24,0.0,100.0,21.75,22.0,20.0,16.27,0.0,5.48,15.0,0.0,5.0,17.0,0.0,5.0,1.15,70.0,0.0,0.0,0.0,2000.0,625
,94.32,94.9,0.0,91.33,86.49,87.1,0.0,83.33,34.9,37.0,32.0,29.42,0.0,5.48,27.0,0.0,5.0,31.0,0.0,6.0,1.15,60.0,0.0,0.0,0.0,2000.0,602
,97.21,99.26,0.0,88.4,88.68,90.7,0.0,80.0,51.52,53.0,47.0,42.68,0.0,8.84,39.0,0.0,8.0,43.0,0.0,10.0,1.15,50.0,0.0,0.0,0.0,2000.0,596
,97.53,98.56,0.0,93.25,88.71,90.0,0.0,83.33,60.47,62.0,55.0,49.28,0.0,11.19,45.0,0.0,10.0,50.0,0.0,12.0,1.15,45.0,0.0,0.0,0.0,2000.0,600
