gid,cid,cname,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,vwin0,vdraw0,vlost0,vwin9,vdraw9,vlost9,vback0,vback9,vwin0kali,vdraw0kali,vlost0kali,vwin9kali,vdraw9kali,vlost9kali,gplay,gset,gtid,kwin,kwinrq,mplay,mtid,qj,qr,qs,tplay,tweek
240228,140,明陞,1.15,6.50,10.35,1.15,6.50,10.35,77.64,13.74,8.63,77.64,13.74,8.63,89.28,89.28,0.88,1.06,0.78,0.88,1.06,0.78,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,538,沙巴,1.15,6.50,10.35,1.13,6.50,12.32,77.64,13.74,8.63,79.02,13.74,7.25,89.28,89.29,0.88,1.06,0.78,0.86,1.06,0.93,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,16,10BET,1.19,5.33,11.74,1.20,6.32,10.90,75.49,16.85,7.65,76.93,14.61,8.47,89.84,92.31,0.91,0.87,0.88,0.91,1.03,0.82,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,502,12BET,1.15,6.50,10.35,1.15,6.50,10.35,77.64,13.74,8.63,77.64,13.74,8.63,89.28,89.28,0.88,1.06,0.78,0.88,1.06,0.78,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,28,24hPoker,1.18,6.30,13.25,1.15,6.60,17.00,78.35,14.67,6.98,80.52,14.03,5.45,92.45,92.60,0.90,1.03,1.00,0.88,1.08,1.28,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,30,5Dimes,1.22,5.18,9.04,1.19,6.02,12.77,72.97,17.19,9.85,77.47,15.31,7.22,89.02,92.19,0.93,0.85,0.68,0.91,0.98,0.96,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,366,as3388,1.15,5.30,10.00,1.15,5.40,10.00,75.08,16.29,8.63,75.30,16.04,8.66,86.34,86.60,0.88,0.86,0.75,0.88,0.88,0.75,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,472,Astra Sport Bets,1.20,4.30,13.00,1.20,4.30,13.00,72.92,20.35,6.73,72.92,20.35,6.73,87.50,87.50,0.91,0.70,0.98,0.91,0.70,0.98,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,477,Balkan Bet,1.20,4.75,10.00,1.20,4.75,10.00,72.85,18.40,8.74,72.85,18.40,8.74,87.42,87.42,0.91,0.77,0.75,0.91,0.77,0.75,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,41,BET 1128,1.20,5.50,11.00,1.20,5.50,11.00,75.34,16.44,8.22,75.34,16.44,8.22,90.41,90.41,0.91,0.90,0.83,0.91,0.90,0.83,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,350,Bet-at-home,1.20,5.25,10.00,1.20,5.25,10.00,74.15,16.95,8.90,74.15,16.95,8.90,88.98,88.98,0.91,0.86,0.75,0.91,0.86,0.75,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,17,Bet24,1.17,5.60,12.00,1.17,5.60,12.00,76.54,15.99,7.46,76.54,15.99,7.46,89.56,89.56,0.89,0.91,0.90,0.89,0.91,0.90,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,413,Bet3000,1.20,6.00,13.00,1.20,6.00,13.00,77.38,15.48,7.14,77.38,15.48,7.14,92.86,92.86,0.91,0.98,0.98,0.91,0.98,0.98,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,525,Bet7days,1.23,5.50,10.00,1.23,5.50,10.00,74.26,16.61,9.13,74.26,16.61,9.13,91.34,91.34,0.94,0.90,0.75,0.94,0.90,0.75,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,90005,gavg,1.19,5.42,11.14,1.18,5.53,12.05,75.07,16.65,8.28,75.93,16.40,7.66,89.58,89.87,0.91,0.88,0.84,0.90,0.90,0.91,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,90009,gmax,1.25,7.20,18.00,1.23,7.00,18.50,80.60,21.69,13.60,80.89,21.21,10.07,93.82,97.06,0.95,1.17,1.35,0.94,1.14,1.39,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
240228,90001,gmin,1.11,4.10,5.90,1.11,4.10,8.74,69.46,12.90,4.95,71.79,13.49,4.95,80.21,83.56,0.85,0.67,0.44,0.85,0.67,0.66,黎巴嫩,亚选赛,106,3,-1,叙利亚,94,4,0,0,2010-03-03,3
