gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell
574590,法乙,克莱蒙,944,布雷斯,1593,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574597,法乙,特鲁瓦,1225,斯特堡,1194,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574595,法乙,索肖,1210,欧塞尔,1146,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574592,法乙,尼姆,1132,尼奥尔,1131,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574596,法乙,图尔,2328,亚眠,1307,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
574593,法乙,奥尔良,3958,拉瓦勒,966,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
631729,解放者杯,巴兰基利,2256,卡拉波,3662,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
631731,解放者杯,国家报,3354,图库曼,5361,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
631730,解放者杯,西联合,1883,切洛,2766,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-07 23:55:00
628768,墨西联,美洲虎,1902,美洲队,533,-1,-1,0,0,-1,-1,2,2017-02-07,2017-02-08 09:55:00
633126,亚冠杯,上海申花,489,布里斯,3618,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 19:40:00
610548,意甲,克罗托,243,尤文,1330,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
627075,德国杯,洛特,5440,慕尼黑,1121,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
627071,德国杯,桑德豪,3716,沙尔克,478,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574011,法甲,昂热,597,雷恩,990,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574012,法甲,洛里昂,980,图卢兹,1233,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574013,法甲,梅斯,1084,第戎,774,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574016,法甲,尼斯,1134,埃蒂安,494,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574014,法甲,里昂,997,南锡,1130,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574019,法甲,巴斯蒂,655,南特,1129,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
634231,英足总杯,莱切城,973,德比郡,760,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
627070,德国杯,多特,786,赫塔,659,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
627072,德国杯,汉诺威,862,法兰克,791,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
610546,意甲,博洛尼,707,AC米兰,210,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
632911,西班牙杯,阿拉维,542,塞尔塔,457,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
574017,法甲,马赛,1064,甘冈,813,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
631733,解放者杯,科洛科,1814,博塔弗,1568,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
631732,解放者杯,百万富翁,2835,巴拉竞,1571,-1,-1,0,0,-1,-1,3,2017-02-08,2017-02-08 23:55:00
